"LAND SQUARE FEET","TAX CLASS AT TIME OF SALE","COMMERCIAL UNITS","BLOCK","ZIP CODE","RESIDENTIAL UNITS","TOTAL UNITS","BUILDING CLASS CATEGORY","BUILDING CLASS AT PRESENT","NEIGHBORHOOD","SALE PRICE"
-0.12536499121408,-0.624811711742519,-0.24151206480613,0.178180664806051,0.323341545482247,-0.120030875541534,-0.134492167953976,2,10,26,3
-0.119652321431492,-0.624811711742519,-0.24151206480613,1.06251358340704,0.0872310299598012,-0.120030875541534,-0.134492167953976,2,10,10,3
15.2547641796218,-0.624811711742519,-0.24151206480613,-0.221650707965672,-0.089851856682033,-0.224181400531743,-0.237402954192556,1,5,20,3
-0.0848120884364543,3.19744590495315,2.19453425114677,0.312712161997477,0.323341545482247,-0.328331925521952,-0.134492167953976,17,53,5,1
-0.140175616576343,-0.624811711742519,-0.24151206480613,-0.908419889432395,0.264313916601635,-0.120030875541534,-0.134492167953976,2,11,3,3
-0.00677301732658689,0.649274160489372,-0.000460626020408604,-1.70149717707136,-0.680128145488147,0.00131442727351636,0.00127493077969798,10,24,19,2
-0.00677301732658689,3.19744590495315,0.97651109317032,-1.34023777202586,-0.680128145488147,0.00131442727351636,-0.237402954192556,20,79,15,1
-0.00677301732658689,0.649274160489372,-0.000460626020408604,-0.97333368877651,-0.0308242278014216,0.00131442727351636,0.00127493077969798,10,24,18,2
-0.150525422633067,-0.624811711742519,0.97651109317032,-0.962044332368838,-0.0308242278014216,-0.120030875541534,-0.0315813817153958,2,83,18,3
-0.102443785296291,0.649274160489372,-0.24151206480613,0.348461790621773,0.205286287721024,0.0882701744388841,0.0713294045231841,7,17,35,3
-0.00677301732658689,0.649274160489372,-0.000460626020408604,1.40213505533784,-0.0308242278014216,0.00131442727351636,0.00127493077969798,10,24,28,2
-0.128891330586047,-0.624811711742519,-0.24151206480613,0.19417391971692,0.323341545482247,-0.224181400531743,-0.237402954192556,1,5,25,2
-0.00677301732658689,0.649274160489372,-0.000460626020408604,-0.929117042846461,-0.325962372204479,-0.224181400531743,-0.237402954192556,14,70,14,3
-0.14916778197486,-0.624811711742519,-0.24151206480613,-0.0259685302326876,-0.089851856682033,-0.015880350551325,-0.0315813817153958,3,14,20,3
-0.142097471534065,-0.624811711742519,-0.24151206480613,0.559196443564986,0.146258658840413,-0.224181400531743,-0.237402954192556,1,5,35,3
-0.141233518387933,-0.624811711742519,-0.24151206480613,0.403967792959494,0.323341545482247,-0.120030875541534,-0.134492167953976,2,12,2,3
-0.12644052472253,-0.624811711742519,-0.24151206480613,-0.287505287010426,-0.148879485562644,-0.120030875541534,-0.134492167953976,2,11,34,3
-0.00677301732658689,0.649274160489372,-0.000460626020408604,-0.323254915634721,-0.089851856682033,-0.224181400531743,-0.237402954192556,12,73,24,2
-0.00677301732658689,0.649274160489372,-0.000460626020408604,1.5733569608542,0.44139680324347,0.00131442727351636,0.00127493077969798,10,24,28,2
-0.00677301732658689,0.649274160489372,-0.000460626020408604,1.35791840940779,-0.0308242278014216,0.00131442727351636,0.00127493077969798,10,24,28,2
-0.128891330586047,-0.624811711742519,-0.24151206480613,1.0832107368211,0.0872310299598012,-0.120030875541534,-0.134492167953976,2,10,31,3
-0.00677301732658689,0.649274160489372,-0.000460626020408604,1.37767478312122,-0.0308242278014216,0.00131442727351636,0.00127493077969798,10,24,28,2
-0.0974540150849575,-0.624811711742519,-0.24151206480613,0.202640937022674,0.323341545482247,-0.120030875541534,-0.134492167953976,2,11,25,3
-0.128891330586047,-0.624811711742519,-0.24151206480613,0.7125435347692,0.146258658840413,-0.120030875541534,-0.134492167953976,2,12,33,2
-0.128891330586047,-0.624811711742519,-0.24151206480613,-1.20476549513379,-0.207907114443256,-0.120030875541534,-0.134492167953976,2,11,11,3
-0.00677301732658689,0.649274160489372,-0.000460626020408604,-0.317610237430885,-0.089851856682033,-0.224181400531743,-0.237402954192556,12,73,24,2
-0.109496464040226,0.649274160489372,-0.24151206480613,-1.7381875853963,-0.444017629965701,0.609022799389929,0.585883335716084,7,15,19,2
-0.142820371105318,-0.624811711742519,-0.24151206480613,0.657037532431478,0.146258658840413,-0.224181400531743,-0.237402954192556,1,5,2,3
-0.00677301732658689,-0.624811711742519,-0.000460626020408604,-0.798348664457592,0.559452061004692,-0.224181400531743,-0.237402954192556,4,72,30,2
-0.131095292693527,-0.624811711742519,-0.24151206480613,0.391737656851183,0.323341545482247,-0.120030875541534,-0.134492167953976,2,10,35,3
-0.131712402083621,-0.624811711742519,-0.24151206480613,0.660800651234036,0.146258658840413,-0.224181400531743,-0.237402954192556,1,5,2,3
-0.127128160900063,-0.624811711742519,-0.24151206480613,0.195114699417559,0.323341545482247,-0.120030875541534,-0.134492167953976,2,12,25,2
-0.00677301732658689,0.649274160489372,-0.000460626020408604,1.52443641642096,-0.0308242278014216,0.00131442727351636,0.00127493077969798,10,24,28,3
-0.00677301732658689,0.649274160489372,-0.000460626020408604,1.43129922605766,0.44139680324347,0.00131442727351636,0.00127493077969798,10,24,32,2
0.00334639586273115,0.649274160489372,-0.24151206480613,-1.48041394742112,-0.503045258846313,5.29579642394934,5.21686871645218,8,25,21,2
16.0305588414546,-0.624811711742519,-0.24151206480613,-1.1549041709999,-0.325962372204479,-0.224181400531743,-0.237402954192556,1,1,1,2
-0.128891330586047,-0.624811711742519,-0.24151206480613,-0.246110980182295,-0.207907114443256,-0.120030875541534,-0.134492167953976,2,11,24,3
-0.141304045175372,-0.624811711742519,-0.24151206480613,0.559196443564986,0.146258658840413,-0.120030875541534,-0.134492167953976,2,13,35,3
-0.0869984188470741,-0.624811711742519,-0.24151206480613,0.722892111476233,0.146258658840413,-0.120030875541534,-0.134492167953976,2,10,33,2
-0.0848826152238936,-0.624811711742519,-0.24151206480613,1.42847688695574,-0.0308242278014216,-0.328331925521952,-0.340313740431136,6,38,28,2
-0.154827556666867,-0.624811711742519,-0.24151206480613,0.28072565217574,0.323341545482247,-0.224181400531743,-0.237402954192556,1,5,5,2
